Median_House_Value,Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Latitude,Longitude,Distance_to_coast,Distance_to_LA,Distance_to_SanDiego,Distance_to_SanJose,Distance_to_SanFrancisco
452600,8.3252,41,880,129,322,126,37.88,-122.23,9263.040773,556529.1583,735501.807,67432.517,21250.21377
358500,8.3014,21,7099,1106,2401,1138,37.86,-122.22,10225.73307,554279.8501,733236.8844,65049.90857,20880.6004
352100,7.2574,52,1467,190,496,177,37.85,-122.24,8259.085109,554610.7171,733525.6829,64867.28983,18811.48745
341300,5.6431,52,1274,235,558,219,37.85,-122.25,7768.086571,555194.2661,734095.2907,65287.13841,18031.04757
342200,3.8462,52,1627,280,565,259,37.85,-122.25,7768.086571,555194.2661,734095.2907,65287.13841,18031.04757
269700,4.0368,52,919,213,413,193,37.85,-122.25,7768.086571,555194.2661,734095.2907,65287.13841,18031.04757
299200,3.6591,52,2535,489,1094,514,37.84,-122.25,6843.020847,554364.4069,733249.8086,64315.99174,17538.20997
241400,3.12,52,3104,687,1157,647,37.84,-122.25,6843.020847,554364.4069,733249.8086,64315.99174,17538.20997
226700,2.0804,42,2555,665,1206,595,37.84,-122.26,6363.948013,554949.7495,733820.8244,64751.46386,16744.40658
261100,3.6912,52,3549,707,1551,714,37.84,-122.25,6843.020847,554364.4069,733249.8086,64315.99174,17538.20997
281500,3.2031,52,2202,434,910,402,37.85,-122.26,7349.620842,555778.6577,734665.575,65716.11772,17260.03207
241800,3.2705,52,3503,752,1504,734,37.85,-122.26,7349.620842,555778.6577,734665.575,65716.11772,17260.03207
213500,3.075,52,2491,474,1098,468,37.85,-122.26,7349.620842,555778.6577,734665.575,65716.11772,17260.03207
191300,2.6736,52,696,191,345,174,37.84,-122.26,6363.948013,554949.7495,733820.8244,64751.46386,16744.40658
159200,1.9167,52,2643,626,1212,620,37.85,-122.26,7349.620842,555778.6577,734665.575,65716.11772,17260.03207
140000,2.125,50,1120,283,697,264,37.85,-122.26,7349.620842,555778.6577,734665.575,65716.11772,17260.03207
152500,2.775,52,1966,347,793,331,37.85,-122.27,7016.677244,556363.8892,735236.5342,66154.05014,16499.7622
155500,2.1202,52,1228,293,648,303,37.85,-122.27,7016.677244,556363.8892,735236.5342,66154.05014,16499.7622
158700,1.9911,50,2239,455,990,419,37.84,-122.26,6363.948013,554949.7495,733820.8244,64751.46386,16744.40658
162900,2.6033,52,1503,298,690,275,37.84,-122.27,5976.288058,555535.9314,734392.515,65195.93619,15959.48366
147500,1.3578,40,751,184,409,166,37.85,-122.27,7016.677244,556363.8892,735236.5342,66154.05014,16499.7622
159800,1.7135,42,1639,367,929,366,37.85,-122.27,7016.677244,556363.8892,735236.5342,66154.05014,16499.7622
113900,1.725,52,2436,541,1015,478,37.84,-122.27,5976.288058,555535.9314,734392.515,65195.93619,15959.48366
99700,2.1806,52,1688,337,853,325,37.84,-122.27,5976.288058,555535.9314,734392.515,65195.93619,15959.48366
132600,2.6,52,2224,437,1006,422,37.84,-122.27,5976.288058,555535.9314,734392.515,65195.93619,15959.48366
107500,2.4038,41,535,123,317,119,37.85,-122.28,6781.863175,556949.9579,735808.1668,66600.75904,15751.79397
93800,2.4597,49,1130,244,607,239,37.85,-122.28,6781.863175,556949.9579,735808.1668,66600.75904,15751.79397
105500,1.808,52,1898,421,1102,397,37.85,-122.28,6781.863175,556949.9579,735808.1668,66600.75904,15751.79397
108900,1.6424,50,2082,492,1131,473,37.84,-122.28,5698.726903,556122.9501,734964.8786,65649.2259,15184.81839
132000,1.6875,52,729,160,395,155,37.84,-122.28,5698.726903,556122.9501,734964.8786,65649.2259,15184.81839
122300,1.9274,49,1916,447,863,378,37.84,-122.28,5698.726903,556122.9501,734964.8786,65649.2259,15184.81839
115200,1.9615,52,2153,481,1168,441,37.84,-122.28,5698.726903,556122.9501,734964.8786,65649.2259,15184.81839
110400,1.7969,48,1922,409,1026,335,37.84,-122.27,5976.288058,555535.9314,734392.515,65195.93619,15959.48366
104900,1.375,49,1655,366,754,329,37.83,-122.27,4967.005194,554708.9644,733549.2069,64242.77921,15480.34052
109700,2.7303,51,2665,574,1258,536,37.83,-122.27,4967.005194,554708.9644,733549.2069,64242.77921,15480.34052
97200,1.4861,49,1215,282,570,264,37.83,-122.27,4967.005194,554708.9644,733549.2069,64242.77921,15480.34052
104500,1.0972,48,1798,432,987,374,37.83,-122.27,4967.005194,554708.9644,733549.2069,64242.77921,15480.34052
103900,1.4103,52,1511,390,901,403,37.83,-122.28,4629.273249,555296.9346,734122.3028,64702.80872,14680.30193
191400,3.48,52,1470,330,689,309,37.83,-122.26,5427.301746,554121.8302,732976.7839,63791.60491,16288.47612
176000,2.5898,52,2432,715,1377,696,37.83,-122.26,5427.301746,554121.8302,732976.7839,63791.60491,16288.47612
155400,2.0978,52,1665,419,946,395,37.83,-122.26,5427.301746,554121.8302,732976.7839,63791.60491,16288.47612
150000,1.2852,51,936,311,517,249,37.83,-122.26,5427.301746,554121.8302,732976.7839,63791.60491,16288.47612
118800,1.025,49,713,202,462,189,37.84,-122.26,6363.948013,554949.7495,733820.8244,64751.46386,16744.40658
188800,3.9643,52,950,202,467,198,37.84,-122.26,6363.948013,554949.7495,733820.8244,64751.46386,16744.40658
184400,3.0125,52,1443,311,660,292,37.83,-122.26,5427.301746,554121.8302,732976.7839,63791.60491,16288.47612
182300,2.6768,52,1656,420,718,382,37.83,-122.26,5427.301746,554121.8302,732976.7839,63791.60491,16288.47612
142500,2.026,50,1125,322,616,304,37.83,-122.26,5427.301746,554121.8302,732976.7839,63791.60491,16288.47612
137500,1.7348,43,1007,312,558,253,37.82,-122.27,4012.371429,553882.9924,732706.6126,63294.80315,15068.16595
187500,0.9506,40,624,195,423,160,37.82,-122.26,4569.927385,553294.9042,732133.456,62836.7606,15897.37759
112500,1.775,40,946,375,700,352,37.82,-122.27,4012.371429,553882.9924,732706.6126,63294.80315,15068.16595
171900,0.9218,21,896,453,735,438,37.82,-122.27,4012.371429,553882.9924,732706.6126,63294.80315,15068.16595
93800,1.5045,43,1868,456,1061,407,37.82,-122.27,4012.371429,553882.9924,732706.6126,63294.80315,15068.16595
97500,1.1108,41,3221,853,1959,720,37.82,-122.27,4012.371429,553882.9924,732706.6126,63294.80315,15068.16595
104200,1.2475,52,1630,456,1162,400,37.82,-122.27,4012.371429,553882.9924,732706.6126,63294.80315,15068.16595
87500,1.6098,52,1170,235,701,233,37.82,-122.28,3585.765695,554471.9161,733280.4418,63761.73532,14244.88253
83100,1.4113,52,945,243,576,220,37.82,-122.28,3585.765695,554471.9161,733280.4418,63761.73532,14244.88253
87500,1.5057,52,1238,288,622,259,37.82,-122.28,3585.765695,554471.9161,733280.4418,63761.73532,14244.88253
85300,0.8172,52,1489,335,728,244,37.82,-122.28,3585.765695,554471.9161,733280.4418,63761.73532,14244.88253
80300,1.2171,52,1387,341,1074,304,37.82,-122.28,3585.765695,554471.9161,733280.4418,63761.73532,14244.88253
60000,2.5625,2,158,43,94,57,37.82,-122.29,3340.660078,555061.6726,733854.9421,64237.36326,13428.61774
75700,3.3929,52,1121,211,554,187,37.83,-122.29,4442.149809,555885.7384,734696.07,65171.50593,13889.75955
75000,6.1183,49,135,29,86,23,37.82,-122.29,3340.660078,555061.6726,733854.9421,64237.36326,13428.61774
86100,0.9011,50,760,190,377,122,37.81,-122.29,2249.485926,554238.6099,733014.5326,63308.9672,13046.18672
76100,1.191,52,1224,237,521,159,37.81,-122.3,2214.986056,554830.1506,733590.4364,63800.21053,12212.91436
73500,2.5938,48,828,182,392,133,37.81,-122.3,2214.986056,554830.1506,733590.4364,63800.21053,12212.91436
78400,1.1667,52,1010,209,604,187,37.81,-122.3,2214.986056,554830.1506,733590.4364,63800.21053,12212.91436
84400,0.8056,48,1455,354,788,332,37.81,-122.3,2214.986056,554830.1506,733590.4364,63800.21053,12212.91436
81300,2.6094,52,1027,244,492,147,37.8,-122.29,1197.174355,553416.5548,732174.844,62386.57432,12749.55139
85000,1.8516,52,572,109,274,82,37.81,-122.3,2214.986056,554830.1506,733590.4364,63800.21053,12212.91436
129200,0.9802,46,2801,644,1823,611,37.81,-122.29,2249.485926,554238.6099,733014.5326,63308.9672,13046.18672
82500,1.7719,26,768,152,392,127,37.81,-122.29,2249.485926,554238.6099,733014.5326,63308.9672,13046.18672
95200,0.7286,46,935,297,582,277,37.81,-122.29,2249.485926,554238.6099,733014.5326,63308.9672,13046.18672
75000,1.75,49,844,204,560,152,37.81,-122.29,2249.485926,554238.6099,733014.5326,63308.9672,13046.18672
67500,0.4999,46,12,4,18,7,37.81,-122.29,2249.485926,554238.6099,733014.5326,63308.9672,13046.18672
